threshold,component,mean_rank,min_rank,max_rank
80,Query,220.66666666666666,196,236
80,Key,217.5,182,238
80,Value,248.08333333333334,220,276
80,Attn_Output,259.75,218,297
80,FFN_Inter,396.4166666666667,386,407
80,FFN_Output,405.5,380,435
85,Query,261.25,237,276
85,Key,258.0833333333333,222,279
85,Value,288.9166666666667,261,316
85,Attn_Output,300.3333333333333,261,336
85,FFN_Inter,455.5,447,464
85,FFN_Output,463.0833333333333,428,492
90,Query,314.6666666666667,292,329
90,Key,311.5833333333333,276,333
90,Value,342.5,317,368
90,Attn_Output,352.75,317,387
90,FFN_Inter,526.4166666666666,518,534
90,FFN_Output,531.9166666666666,484,559
95,Query,396.1666666666667,376,410
95,Key,393.0,360,414
95,Value,422.4166666666667,401,445
95,Attn_Output,430.3333333333333,402,462
95,FFN_Inter,617.5,610,624
95,FFN_Output,620.0833333333334,557,642
99,Query,537.75,523,550
99,Key,535.5,513,553
99,Value,559.3333333333334,546,574
99,Attn_Output,562.9166666666666,547,585
99,FFN_Inter,722.75,719,727
99,FFN_Output,721.5833333333334,649,733
