layer,Query,Key,Value,Attn_Output,FFN_Inter,FFN_Output
L0,385.0,387.0,413.0,402.0,615.0,629.0
L1,397.0,387.0,412.0,407.0,617.0,618.0
L2,376.0,360.0,410.0,407.0,614.0,623.0
L3,400.0,393.0,401.0,414.0,618.0,623.0
L4,402.0,402.0,412.0,423.0,620.0,618.0
L5,399.0,397.0,415.0,425.0,622.0,617.0
L6,393.0,389.0,427.0,436.0,624.0,612.0
L7,381.0,378.0,440.0,454.0,620.0,627.0
L8,392.0,390.0,429.0,443.0,618.0,636.0
L9,410.0,408.0,445.0,462.0,612.0,642.0
L10,410.0,411.0,434.0,445.0,610.0,639.0
L11,409.0,414.0,431.0,446.0,620.0,557.0
