strategy,type,macro_f1,retention,compression_ratio,f1_retention_pct
Baseline,baseline,0.577011044059513,1.0,1.0,100.0
Uniform r=512,uniform,0.4643000538234426,0.8046640677046636,1.0,80.46640677046636
Uniform r=384,uniform,0.25079092245323864,0.43463799356216837,1.2405637587715705,43.46379935621684
Uniform r=256,uniform,0.02481252711178224,0.04300182356513626,1.6335324697763844,4.300182356513626
Uniform r=128,uniform,0.0,0.0,2.3908836963130256,0.0
Uniform r=64,uniform,0.0,0.0,3.112375829267511,0.0
Adaptive 80%,adaptive,0.14314894605644235,0.2480870124241122,1.3868779574321402,24.80870124241122
Adaptive 85%,adaptive,0.2601214879026595,0.4508085080531501,1.253906904553081,45.08085080531501
Adaptive 90%,adaptive,0.3572306911569512,0.6191054657180988,1.1208785740785407,61.910546571809874
Adaptive 95%,adaptive,0.49175554866947385,0.8522463369327713,0.9789285095542458,85.22463369327713
Adaptive 99%,adaptive,0.5581059874833646,0.967236230968573,0.8321446790958057,96.72362309685731
Mixed Conservative,mixed,0.5048135035982366,0.8748766748841814,0.9630265116802134,87.48766748841814
Mixed Aggressive,mixed,0.3823460122552915,0.6626320521793276,1.09590239220239,66.26320521793276
