emotion,Baseline,Uniform r=512,Uniform r=384,Uniform r=256,Uniform r=128,Uniform r=64,Adaptive 80%,Adaptive 85%,Adaptive 90%,Adaptive 95%,Adaptive 99%,Mixed Conservative,Mixed Aggressive
admiration,0.7565392354124748,0.7056229327453142,0.6126582278481013,0.007905138339920948,0.0,0.0,0.2904841402337229,0.5668016194331984,0.6836027713625866,0.7227615965480043,0.7276507276507277,0.714902807775378,0.6976217440543602
amusement,0.8528864059590316,0.8609022556390977,0.7433628318584071,0.0,0.0,0.0,0.5333333333333333,0.767590618336887,0.8441814595660749,0.8504854368932039,0.8523985239852399,0.85,0.83399209486166
anger,0.5501432664756447,0.49838187702265374,0.1688888888888889,0.0,0.0,0.0,0.04854368932038835,0.2413793103448276,0.344,0.48344370860927155,0.5490196078431373,0.5159235668789809,0.38636363636363635
annoyance,0.4112903225806452,0.2814814814814815,0.0486322188449848,0.0,0.0,0.0,0.006211180124223602,0.006230529595015576,0.07142857142857142,0.24813895781637718,0.3829787234042553,0.23857868020304568,0.12138728323699421
approval,0.5550239234449761,0.44360902255639095,0.33624454148471616,0.0,0.0,0.0,0.16020671834625322,0.2930232558139535,0.36942675159235666,0.44841269841269843,0.5200698080279232,0.4780114722753346,0.32882882882882886
caring,0.5423728813559322,0.4397905759162304,0.20915032679738563,0.0,0.0,0.0,0.11188811188811189,0.26993865030674846,0.3954802259887006,0.47474747474747475,0.48826291079812206,0.5023696682464455,0.43243243243243246
confusion,0.5128205128205128,0.4793388429752066,0.26881720430107525,0.0,0.0,0.0,0.1893491124260355,0.3005181347150259,0.3681592039800995,0.5020576131687243,0.5161290322580645,0.52,0.39631336405529954
curiosity,0.7065217391304348,0.5446224256292906,0.2289156626506024,0.0,0.0,0.0,0.020905923344947737,0.2175226586102719,0.3076923076923077,0.5844155844155844,0.6588693957115009,0.6,0.3763440860215054
desire,0.5354330708661418,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.2268041237113402,0.4827586206896552,0.546875,0.47863247863247865,0.28
disappointment,0.2751322751322751,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369426751592357,0.2057142857142857,0.1111111111111111,0.026143790849673203
disapproval,0.5265306122448979,0.3463687150837989,0.0912280701754386,0.0,0.0,0.0,0.01486988847583643,0.08480565371024736,0.1830065359477124,0.4381443298969072,0.4908256880733945,0.453125,0.23270440251572327
disgust,0.5212765957446809,0.32,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.24285714285714285,0.379746835443038,0.4888888888888889,0.3875,0.27972027972027974
embarrassment,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,0.10256410256410256,0.0
excitement,0.4539877300613497,0.3333333333333333,0.14414414414414414,0.0,0.0,0.0,0.0,0.20869565217391303,0.2689075630252101,0.43356643356643354,0.44871794871794873,0.3829787234042553,0.2926829268292683
fear,0.7096774193548387,0.6456692913385826,0.14285714285714285,0.0,0.0,0.0,0.05,0.14285714285714285,0.584070796460177,0.6818181818181818,0.6754966887417219,0.6714285714285714,0.6324786324786325
gratitude,0.9273255813953488,0.9228571428571428,0.9174041297935103,0.5544147843942505,0.0,0.0,0.8652931854199684,0.8992481203007519,0.9181286549707602,0.9184549356223176,0.9224137931034483,0.9202279202279202,0.9186046511627907
joy,0.6348122866894198,0.5657370517928287,0.3005181347150259,0.0,0.0,0.0,0.1878453038674033,0.3333333333333333,0.45454545454545453,0.5680933852140078,0.6236559139784946,0.544,0.4423963133640553
love,0.813141683778234,0.8075313807531381,0.7713625866050808,0.008368200836820083,0.0,0.0,0.5250737463126843,0.6380697050938338,0.7405660377358491,0.8109243697478992,0.8198757763975155,0.8218029350104822,0.7730337078651686
optimism,0.573170731707317,0.498220640569395,0.29464285714285715,0.0,0.0,0.0,0.12871287128712872,0.2702702702702703,0.3275862068965517,0.49454545454545457,0.5612903225806452,0.4679245283018868,0.314410480349345
realization,0.2708333333333333,0.16352201257861634,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.18518518518518517,0.21176470588235294,0.18404907975460122,0.09210526315789473
remorse,0.6722689075630253,0.3561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.5981308411214953,0.5217391304347826,0.0
sadness,0.6319702602230484,0.497737556561086,0.33507853403141363,0.0,0.0,0.0,0.1317365269461078,0.3010752688172043,0.4411764705882353,0.5478260869565217,0.5910931174089069,0.5690376569037657,0.45933014354066987
surprise,0.5714285714285714,0.47533632286995514,0.10666666666666667,0.0,0.0,0.0,0.027972027972027972,0.2236024844720497,0.40414507772020725,0.5387755102040817,0.6007604562737643,0.5748031496062992,0.47706422018348627
