component,rank,f1_macro,compression_ratio,n_layers,f1_retention,silhouette
Query (Q),256,0.5794477612666437,1.0220205535283808,12,100.42023525282559,0.08624949
Query (Q),128,0.5735641348786487,1.0450327532093382,12,99.40058311933447,0.08838332
Query (Q),64,0.568850987264377,1.0569318914662076,12,98.58377887252566,0.09729288
Key (K),256,0.5762111051874941,1.0220205535283808,12,99.8593119278477,0.08623141
Key (K),128,0.567515801326565,1.0450327532093382,12,98.3523866833691,0.08845117
Key (K),64,0.5631930311190869,1.0569318914662076,12,97.60323614695156,0.09859497
Value (V),256,0.539673755332419,1.0220205535283808,12,93.52726698225848,0.08585443
Value (V),128,0.3953311073330167,1.0450327532093382,12,68.5122032646412,0.048675224
Value (V),64,0.03184440479386388,1.0569318914662076,12,5.518741868802355,0.06536931
Attn Output,256,0.5319705465889963,1.0220205535283808,12,92.19227514015495,0.08152445
Attn Output,128,0.3251416166013595,1.0450327532093382,12,56.348129740322996,0.07239025
Attn Output,64,0.01442356222656051,1.0569318914662076,12,2.499651579995421,0.021561211
FFN Inter,256,0.2988374942269752,1.1776103431037237,12,51.78953734679874,0.031353608
FFN Inter,128,0.039858485237836756,1.2573680467428892,12,6.907608816462357,-0.05077098
FFN Inter,64,0.0,1.3014403031609154,12,0.0,-0.124882974
FFN Output,256,0.4325018758597016,1.1776103431037237,12,74.95402178477586,0.1369763
FFN Output,128,0.1278845898916819,1.2573680467428892,12,22.162827196124486,0.041722428
FFN Output,64,0.0,1.3014403031609154,12,0.0,0.0126026105
Attention (all),256,0.48170362774363584,1.0943126654043454,48,83.4808499637913,0.08232001
Attention (all),128,0.026674373540838067,1.2082676036238298,48,4.622758159143316,0.029554097
Attention (all),64,0.014374145163071112,1.2746338373231125,48,2.4910874375949716,-0.07342961
FFN (all),256,0.11227958697885645,1.4319372006064146,24,19.458427993336215,0.025760554
FFN (all),128,0.000610170574627108,1.693124085528769,24,0.1057446015745496,-0.04186644
FFN (all),64,0.0,1.8630337665482384,24,0.0,-0.098667815
