component,component_key,rank,f1_macro,compression_ratio,n_layers,f1_retention,f1_retention_pct,silhouette
Query,query,256,0.5793706728673087,1.0220205535283808,12,1.0040893997300204,100.40893997300205,0.08476604
Query,query,128,0.5736449263868397,1.0450327532093382,12,0.9941662855376369,99.41662855376369,0.09105565
Query,query,64,0.568850987264377,1.0569318914662076,12,0.9858580578670962,98.58580578670963,0.09799909
Key,key,256,0.5761626464447293,1.0220205535283808,12,0.9985296683252111,99.8529668325211,0.084753744
Key,key,128,0.5675649266190387,1.0450327532093382,12,0.9836292259260465,98.36292259260465,0.091122225
Key,key,64,0.5630955457391618,1.0569318914662076,12,0.9758834801107967,97.58834801107967,0.09926298
Value,value,256,0.5397290981517472,1.0220205535283808,12,0.9353878122583724,93.53878122583724,0.08494768
Value,value,128,0.3953311073330167,1.0450327532093382,12,0.6851361189756399,68.51361189756399,0.039517067
Value,value,64,0.03184440479386388,1.0569318914662076,12,0.055188553359092105,5.51885533590921,0.06287991
Attn_Output,attention_output,256,0.531921940201605,1.0220205535283808,12,0.9218574682025367,92.18574682025367,0.08035933
Attn_Output,attention_output,128,0.32527647097545026,1.0450327532093382,12,0.5637265947060472,56.372659470604724,0.069265716
Attn_Output,attention_output,64,0.01442356222656051,1.0569318914662076,12,0.024997029736354343,2.499702973635434,0.02129578
FFN_Inter,intermediate,256,0.29731418206519544,1.1776103431037237,12,0.5152660163546721,51.52660163546721,0.0008714056
FFN_Inter,intermediate,128,0.04002599566070752,1.2573680467428892,12,0.0693678155258658,6.936781552586579,-0.04399488
FFN_Inter,intermediate,64,0.0,1.3014403031609154,12,0.0,0.0,-0.1347784
FFN_Output,ffn_output,256,0.4324030050717148,1.1776103431037237,12,0.7493842787298829,74.93842787298829,0.14084817
FFN_Output,ffn_output,128,0.12795888494949534,1.2573680467428892,12,0.22176158717734637,22.176158717734637,0.08277418
FFN_Output,ffn_output,64,0.0,1.3014403031609154,12,0.0,0.0,0.01994048
Attention_All,attention,256,0.4814216146792677,1.0943126654043454,48,0.8343369154466544,83.43369154466545,0.081695594
Attention_All,attention,128,0.026674373540838067,1.2082676036238298,48,0.046228532045370814,4.622853204537082,0.025111562
Attention_All,attention,64,0.01439351288444234,1.2746338373231125,48,0.0249449521506174,2.49449521506174,-0.072346166
FFN_All,ffn,256,0.11227958697885645,1.4319372006064146,24,0.19458828064870787,19.458828064870787,0.048140693
FFN_All,ffn,128,0.000610170574627108,1.693124085528769,24,0.001057467757175502,0.1057467757175502,-0.02442195
FFN_All,ffn,64,0.0,1.8630337665482384,24,0.0,0.0,-0.10071498
