emotion,crystallization_layer,crystallization_layer_name,max_probe_f1,argmax_layer,train_frequency
admiration,3,L2,0.7349397590361446,10,4130
amusement,1,L0,0.8268156424581006,12,2328
anger,5,L4,0.5434173669467787,11,1567
annoyance,9,L8,0.41563055062166965,11,2470
approval,9,L8,0.5465288035450517,11,2939
caring,7,L6,0.502092050209205,11,1087
confusion,8,L7,0.5016501650165016,11,1368
curiosity,1,L0,0.6738738738738739,12,2191
desire,9,L8,0.5815602836879432,10,641
disappointment,10,L9,0.36065573770491804,10,1269
disapproval,7,L6,0.5213849287169042,10,2022
disgust,3,L2,0.5320197044334976,10,793
embarrassment,6,L5,0.40625,8,303
excitement,9,L8,0.4723618090452261,12,853
fear,4,L3,0.7080745341614907,10,596
gratitude,1,L0,0.9221902017291066,9,2662
joy,9,L8,0.6006825938566553,10,1452
love,1,L0,0.8181818181818182,12,2086
optimism,1,L0,0.5688073394495413,10,1581
realization,8,L7,0.3274336283185841,10,1110
remorse,6,L5,0.6554621848739496,11,545
sadness,4,L3,0.6209386281588448,11,1326
surprise,8,L7,0.5581395348837209,12,1060
