layer,layer_name,mean_probe_f1,mean_lesion_retention
0,L0,0.3486291971255317,0.9302750648433842
1,L1,0.3969938392024692,0.955803354931709
2,L2,0.41391238626913707,0.9467767495667808
3,L3,0.42880404433802655,0.9435907779717041
4,L4,0.4389098790307183,0.9802969297977993
5,L5,0.46662393267464747,0.9787918403510278
6,L6,0.4914201586896918,0.9605898211583548
7,L7,0.5112893464871417,0.9322152737087588
8,L8,0.5444783474015868,0.8633064579011783
9,L9,0.5671692783782414,0.8118463517720721
10,L10,0.5651755070304817,0.8892706587965714
11,L11,0.5689408375639782,0.378669636158895
