emotion,critical_layer,peak_restoration,mean_restoration,concentration
admiration,11,1.0,0.15086854541593556,0.5523572398977422
amusement,11,1.0,0.16317071225387136,0.5107125671160768
anger,11,1.0,0.09079519020251779,0.9178166062261575
annoyance,11,1.0,0.0979801559177888,0.8505123568414708
approval,11,1.0,0.0900249735856306,0.9256690673068373
caring,11,1.0,0.08333333333333333,1.0
confusion,11,1.0,0.09746376811594204,0.8550185873605947
curiosity,11,1.0,0.08900784210062561,0.9362470920160373
desire,11,1.0,0.08333333333333333,1.0
disappointment,11,1.0,0.08333333333333333,1.0
disapproval,11,1.0,0.0979254860996573,0.8509871806868157
disgust,11,1.0,0.08333333333333333,1.0
embarrassment,11,1.0,0.08333333333333333,1.0
excitement,11,1.0,0.08333333333333333,1.0
fear,11,1.0,0.08333333333333333,1.0
gratitude,11,1.0,0.19760394921045796,0.42171896698572164
joy,11,1.0,0.08813598216627327,0.9455086479449507
love,11,1.0,0.13198040531901292,0.6314068602222155
optimism,11,1.0,0.08333333333333333,1.0
realization,11,1.0,0.08333333333333333,1.0
remorse,11,1.0,0.08333333333333333,1.0
sadness,11,1.0,0.1064671482628139,0.7827140549273022
surprise,11,1.0,0.08333333333333333,1.0
