layer,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
L0,0.26928871001436766,0.24901727799748496,0.2549494765567889,0.2518291844081043,0.20759899657476533,0.2684197621811365,0.1993826361815646,0.21422705025800165,0.1494449470514692,0.1513231430829169,0.14703206305456235,0.07763508862851448
L1,0.2490172779974849,0.21339765241845776,0.21186812762782592,0.23723743625602958,0.154404002592749,0.1742939894238557,0.20381774641056535,0.17863530262732313,0.1456990243986978,0.1417212729488101,0.11692764079806886,0.1015876813267857
L2,0.25494947655678885,0.21186812762782598,0.2003770817701164,0.2156361009100885,0.17363712956757146,0.20309960065989496,0.15159005072958637,0.10790100335007656,0.1257021535443059,0.1428070990843967,0.1304863761104989,0.140150612744515
L3,0.25182918440810426,0.23723743625602958,0.21563610091008847,0.269564842643712,0.17574629578283762,0.2283982183013552,0.1789351117602715,0.20137047521044046,0.15907441159662591,0.12450364992833708,0.10468104375769671,0.07220282769369527
L4,0.2075989965747653,0.154404002592749,0.17363712956757146,0.17574629578283762,0.1170673922485444,0.22751919375469448,0.13803954865551418,0.1589569614735763,0.10613743357863556,0.1279214600439228,0.11494640542153685,0.06981969617556377
L5,0.26841976218113645,0.1742939894238557,0.20309960065989496,0.2283982183013552,0.22751919375469443,0.31265093323256854,0.19836426315760258,0.2245627117846793,0.1043219290863518,0.15437564749946256,0.14033448430679904,0.02162264589608935
L6,0.1993826361815646,0.20381774641056538,0.15159005072958637,0.17893511176027146,0.13803954865551418,0.1983642631576026,0.16254708655377667,0.18324844884194735,0.11152814780726644,0.12980667610530305,0.11124558143854789,0.06610376762846798
L7,0.21422705025800162,0.17863530262732313,0.10790100335007656,0.20137047521044046,0.1589569614735763,0.2245627117846793,0.18324844884194735,0.26850365594631936,0.1255936834114747,0.06316450585482578,0.09276652396504782,-0.01597364679985798
L8,0.1494449470514692,0.1456990243986978,0.12570215354430592,0.1590744115966259,0.10613743357863556,0.1043219290863518,0.11152814780726647,0.12559368341147473,0.04913374602493432,0.07959822077798412,0.07879901690842818,0.09663538699281644
L9,0.15132314308291692,0.1417212729488101,0.1428070990843967,0.12450364992833708,0.12792146004392277,0.15437564749946253,0.12980667610530303,0.06316450585482578,0.07959822077798412,0.08736239740178947,0.10258513637378194,0.09259568256693568
L10,0.14703206305456235,0.11692764079806886,0.1304863761104989,0.10468104375769673,0.11494640542153685,0.14033448430679904,0.11124558143854789,0.0927665239650478,0.0787990169084282,0.10258513637378194,0.01605084242152113,0.08398913917619936
L11,0.07763508862851448,0.1015876813267857,0.140150612744515,0.07220282769369527,0.06981969617556377,0.02162264589608936,0.06610376762846798,-0.015973646799857973,0.09663538699281646,0.09259568256693568,0.08398913917619938,0.1397965209975817
