emotion,cluster,mean_frac_removed,total_sig_neurons
admiration,2,0.5342386128198414,53
amusement,2,0.5527354635586872,394
anger,5,0.5377653284291166,43
annoyance,5,0.5350330040683147,0
approval,3,0.54588787856351,5
caring,1,0.5328145781049981,60
confusion,4,0.5347778496311407,113
curiosity,4,0.5582207650095571,121
desire,1,0.5563833868643802,155
disappointment,5,0.543223417965395,0
disapproval,5,0.5364049831001599,15
disgust,5,0.5437833651872376,95
embarrassment,6,0.5412339587801144,44
excitement,2,0.5376535524355918,112
fear,6,0.5263371748806639,306
gratitude,2,0.5565269137475499,818
joy,2,0.5479933482047094,87
love,2,0.5467606264831877,399
optimism,1,0.5440207017017556,99
realization,3,0.5425867237821164,0
remorse,6,0.5293238970486731,442
sadness,6,0.5345750678780308,123
surprise,4,0.5485059816257759,158
