component,emotion,f1,baseline_f1,retention
Query,admiration,0.7441860465116279,0.7565392354124748,0.983671449777338
Query,amusement,0.8519195612431444,0.8528864059590316,0.9988663851256955
Query,anger,0.5465116279069767,0.5501432664756447,0.9933987403100775
Query,annoyance,0.41935483870967744,0.4112903225806452,1.0
Query,approval,0.5530546623794212,0.5550239234449761,0.996451934804302
Query,caring,0.5106382978723404,0.5423728813559322,0.9414893617021276
Query,confusion,0.49056603773584906,0.5128205128205128,0.9566037735849058
Query,curiosity,0.6959706959706959,0.7065217391304348,0.9850662158354465
Query,desire,0.5555555555555556,0.5354330708661418,1.0
Query,disappointment,0.24864864864864866,0.2751322751322751,0.9037422037422038
Query,disapproval,0.5128205128205128,0.5265306122448979,0.973961439077718
Query,disgust,0.5027932960893855,0.5212765957446809,0.9645422414775966
Query,embarrassment,0.2727272727272727,0.26666666666666666,1.0
Query,excitement,0.4625,0.4539877300613497,1.0
Query,fear,0.7012987012987013,0.7096774193548387,0.9881936245572609
Query,gratitude,0.9346879535558781,0.9273255813953488,1.0
Query,joy,0.6274509803921569,0.6326530612244898,0.9917773561037317
Query,love,0.8191268191268192,0.8155737704918032,1.0
Query,optimism,0.5569620253164557,0.573170731707317,0.9717209803393483
Query,realization,0.27835051546391754,0.2708333333333333,1.0
Query,remorse,0.7008547008547008,0.6722689075630253,1.0
Query,sadness,0.6323529411764706,0.6319702602230484,1.0
Query,surprise,0.5736434108527132,0.5714285714285714,1.0
Key,admiration,0.7434869739478958,0.7565392354124748,0.9827474097130431
Key,amusement,0.839924670433145,0.8528864059590316,0.9848025065995608
Key,anger,0.5304878048780488,0.5501432664756447,0.9642721036585367
Key,annoyance,0.4049079754601227,0.4112903225806452,0.9844821364128473
Key,approval,0.5396341463414634,0.5550239234449761,0.972271867115223
Key,caring,0.49122807017543857,0.5423728813559322,0.9057017543859649
Key,confusion,0.4701492537313433,0.5128205128205128,0.9167910447761195
Key,curiosity,0.6877323420074349,0.7065217391304348,0.973405776379754
Key,desire,0.5511811023622047,0.5354330708661418,1.0
Key,disappointment,0.2391304347826087,0.2751322751322751,0.8691471571906355
Key,disapproval,0.5287846481876333,0.5265306122448979,1.0
Key,disgust,0.5111111111111111,0.5212765957446809,0.9804988662131517
Key,embarrassment,0.2727272727272727,0.26666666666666666,1.0
Key,excitement,0.475,0.4539877300613497,1.0
Key,fear,0.7051282051282052,0.7096774193548387,0.9935897435897436
Key,gratitude,0.9290882778581766,0.9273255813953488,1.0
Key,joy,0.6101694915254238,0.6326530612244898,0.9644614543466375
Key,love,0.8134171907756813,0.8155737704918032,0.9973557515038505
Key,optimism,0.5537459283387622,0.573170731707317,0.9661099175272023
Key,realization,0.29591836734693877,0.2708333333333333,1.0
Key,remorse,0.6724137931034483,0.6722689075630253,1.0
Key,sadness,0.6194029850746269,0.6319702602230484,0.9801141352063213
Key,surprise,0.5680933852140078,0.5714285714285714,0.9941634241245136
Value,admiration,0.6845794392523364,0.7565392354124748,0.904882929011732
Value,amusement,0.71875,0.8528864059590316,0.8427265283842795
Value,anger,0.2077922077922078,0.5501432664756447,0.3777056277056277
Value,annoyance,0.12256267409470752,0.4112903225806452,0.2979955213283085
Value,approval,0.4541984732824427,0.5550239234449761,0.8183403527244011
Value,caring,0.2994011976047904,0.5423728813559322,0.5520209580838323
Value,confusion,0.3036649214659686,0.5128205128205128,0.5921465968586388
Value,curiosity,0.5745614035087719,0.7065217391304348,0.813225371120108
Value,desire,0.4036697247706422,0.5354330708661418,0.7539125742039935
Value,disappointment,0.09696969696969697,0.2751322751322751,0.3524475524475525
Value,disapproval,0.3551912568306011,0.5265306122448979,0.6745880459185835
Value,disgust,0.20437956204379562,0.5212765957446809,0.39207507820646503
Value,embarrassment,0.0,0.26666666666666666,0.0
Value,excitement,0.2809917355371901,0.4539877300613497,0.6189412553048917
Value,fear,0.6716417910447762,0.7096774193548387,0.9464043419267301
Value,gratitude,0.8978328173374613,0.9273255813953488,0.96819589079651
Value,joy,0.5043478260869565,0.6326530612244898,0.7971949509116408
Value,love,0.6855670103092784,0.8155737704918032,0.8405947262083614
Value,optimism,0.5089605734767025,0.573170731707317,0.8879737664912684
Value,realization,0.07894736842105263,0.2708333333333333,0.29149797570850206
Value,remorse,0.0,0.6722689075630253,0.0
Value,sadness,0.5022421524663677,0.6319702602230484,0.7947243471379583
Value,surprise,0.5363636363636364,0.5714285714285714,0.9386363636363637
Attn Out,admiration,0.6118251928020566,0.7565392354124748,0.808715746868676
Attn Out,amusement,0.6060606060606061,0.8528864059590316,0.7105994442238984
Attn Out,anger,0.2845528455284553,0.5501432664756447,0.5172340785907859
Attn Out,annoyance,0.2981651376146789,0.4112903225806452,0.7249505306709839
Attn Out,approval,0.421259842519685,0.5550239234449761,0.7589940266087428
Attn Out,caring,0.4175824175824176,0.5423728813559322,0.7699175824175825
Attn Out,confusion,0.44144144144144143,0.5128205128205128,0.8608108108108109
Attn Out,curiosity,0.25595238095238093,0.7065217391304348,0.3622710622710622
Attn Out,desire,0.0,0.5354330708661418,0.0
Attn Out,disappointment,0.0,0.2751322751322751,0.0
Attn Out,disapproval,0.11846689895470383,0.5265306122448979,0.22499527320854604
Attn Out,disgust,0.20437956204379562,0.5212765957446809,0.39207507820646503
Attn Out,embarrassment,0.0,0.26666666666666666,0.0
Attn Out,excitement,0.23931623931623933,0.4539877300613497,0.5271425271425272
Attn Out,fear,0.628099173553719,0.7096774193548387,0.8850488354620586
Attn Out,gratitude,0.848780487804878,0.9273255813953488,0.9152993348115299
Attn Out,joy,0.45454545454545453,0.6326530612244898,0.7184750733137829
Attn Out,love,0.6033519553072626,0.8155737704918032,0.7397883271104124
Attn Out,optimism,0.26605504587155965,0.573170731707317,0.464181143861019
Attn Out,realization,0.13836477987421383,0.2708333333333333,0.5108853410740204
Attn Out,remorse,0.0,0.6722689075630253,0.0
Attn Out,sadness,0.2057142857142857,0.6319702602230484,0.3255126050420168
Attn Out,surprise,0.43434343434343436,0.5714285714285714,0.7601010101010102
FFN Inter,admiration,0.0273972602739726,0.7565392354124748,0.03621393179830953
FFN Inter,amusement,0.007547169811320755,0.8528864059590316,0.008848974211090056
FFN Inter,anger,0.0,0.5501432664756447,0.0
FFN Inter,annoyance,0.0,0.4112903225806452,0.0
FFN Inter,approval,0.16,0.5550239234449761,0.2882758620689655
FFN Inter,caring,0.0,0.5423728813559322,0.0
FFN Inter,confusion,0.0,0.5128205128205128,0.0
FFN Inter,curiosity,0.0,0.7065217391304348,0.0
FFN Inter,desire,0.0,0.5354330708661418,0.0
FFN Inter,disappointment,0.0,0.2751322751322751,0.0
FFN Inter,disapproval,0.0,0.5265306122448979,0.0
FFN Inter,disgust,0.0,0.5212765957446809,0.0
FFN Inter,embarrassment,0.0,0.26666666666666666,0.0
FFN Inter,excitement,0.0,0.4539877300613497,0.0
FFN Inter,fear,0.0,0.7096774193548387,0.0
FFN Inter,gratitude,0.32779097387173395,0.9273255813953488,0.3534799216673244
FFN Inter,joy,0.0,0.6326530612244898,0.0
FFN Inter,love,0.38127090301003347,0.8155737704918032,0.4674879413791365
FFN Inter,optimism,0.0,0.573170731707317,0.0
FFN Inter,realization,0.0,0.2708333333333333,0.0
FFN Inter,remorse,0.0,0.6722689075630253,0.0
FFN Inter,sadness,0.012738853503184714,0.6319702602230484,0.020157362307980518
FFN Inter,surprise,0.0,0.5714285714285714,0.0
FFN Out,admiration,0.45925925925925926,0.7565392354124748,0.6070527974783294
FFN Out,amusement,0.35542168674698793,0.8528864059590316,0.41672804756142473
FFN Out,anger,0.0,0.5501432664756447,0.0
FFN Out,annoyance,0.018575851393188854,0.4112903225806452,0.045164815152067016
FFN Out,approval,0.07671232876712329,0.5550239234449761,0.1382144544166273
FFN Out,caring,0.12413793103448276,0.5423728813559322,0.22887931034482759
FFN Out,confusion,0.012987012987012988,0.5128205128205128,0.02532467532467533
FFN Out,curiosity,0.007017543859649123,0.7065217391304348,0.009932523616734143
FFN Out,desire,0.0,0.5354330708661418,0.0
FFN Out,disappointment,0.0,0.2751322751322751,0.0
FFN Out,disapproval,0.0,0.5265306122448979,0.0
FFN Out,disgust,0.0,0.5212765957446809,0.0
FFN Out,embarrassment,0.0,0.26666666666666666,0.0
FFN Out,excitement,0.0,0.4539877300613497,0.0
FFN Out,fear,0.0,0.7096774193548387,0.0
FFN Out,gratitude,0.896124031007752,0.9273255813953488,0.9663531870428422
FFN Out,joy,0.0718562874251497,0.6326530612244898,0.11357929302684952
FFN Out,love,0.7458432304038005,0.8155737704918032,0.9145012473292831
FFN Out,optimism,0.0,0.573170731707317,0.0
FFN Out,realization,0.0,0.2708333333333333,0.0
FFN Out,remorse,0.0,0.6722689075630253,0.0
FFN Out,sadness,0.17341040462427745,0.6319702602230484,0.2743964637878272
FFN Out,surprise,0.0,0.5714285714285714,0.0
