emotion,baseline_f1,compressed_f1,finetuned_f1,compression_drop,ft_recovery,residual_gap,recovery_rate
admiration,0.7565392354124748,0.695364238410596,0.7274529236868187,0.061174997001878784,0.03208868527622266,0.029086311725656122,0.5245392210683257
amusement,0.8528864059590316,0.8415300546448088,0.8524590163934426,0.011356351314222857,0.010928961748633781,0.0004273895655890758,0.9623655913978456
anger,0.5501432664756447,0.5235294117647059,0.5546218487394958,0.0266138547109388,0.031092436974789917,-0.004478582263851116,1.1682801049488833
annoyance,0.4112903225806452,0.3945841392649903,0.40384615384615385,0.016706183315654877,0.009262014581163547,0.00744416873449133,0.55440637793579
approval,0.5550239234449761,0.4858156028368794,0.556732223903177,0.06920832060809667,0.07091662106629759,-0.0017083004582009176,1.024683454867724
caring,0.5423728813559322,0.4788732394366197,0.504,0.06349964191931251,0.025126760563380313,0.0383728813559322,0.3956992481203011
confusion,0.5147058823529411,0.44274809160305345,0.4965034965034965,0.07195779074988767,0.05375540490044306,0.018202385849444613,0.7470407907225386
curiosity,0.7065217391304348,0.5682326621923938,0.7007042253521126,0.13828907693804104,0.13247156315971886,0.005817513778322181,0.9579322249657602
desire,0.5354330708661418,0.5538461538461539,0.6212121212121212,-0.018413082980012097,0.06736596736596734,-0.08577905034597944,
disappointment,0.2751322751322751,0.17777777777777778,0.3013698630136986,0.09735449735449733,0.12359208523592083,-0.026237587881423496,1.2695056581298392
disapproval,0.5265306122448979,0.48735632183908045,0.5170340681362725,0.03917429040581749,0.029677746297192054,0.009496544108625438,0.7575822303289207
disgust,0.5212765957446809,0.49142857142857144,0.52,0.029848024316109445,0.02857142857142858,0.001276595744680864,0.957230142566191
embarrassment,0.26666666666666666,0.2727272727272727,0.509090909090909,-0.006060606060606044,0.23636363636363633,-0.24242424242424238,
excitement,0.4539877300613497,0.43137254901960786,0.4971751412429379,0.022615181041741816,0.06580259222333001,-0.0431874111815882,2.9096646231518255
fear,0.7096774193548387,0.6802721088435374,0.691358024691358,0.029405310511301352,0.011085915847820593,0.01831939466348076,0.37700386954118165
gratitude,0.9273255813953488,0.9154518950437318,0.9284671532846716,0.011873686351617008,0.013015258240939742,-0.0011415718893227345,1.096143005256937
joy,0.6348122866894198,0.6216216216216216,0.6413793103448275,0.013190665067798202,0.019757688723205935,-0.006567023655407733,1.497853870267658
love,0.8155737704918032,0.8189300411522634,0.8125,-0.003356270660460181,-0.0064300411522634215,0.0030737704918032405,
optimism,0.573170731707317,0.5581395348837209,0.5791044776119403,0.015031196823596105,0.02096494272821936,-0.0059337459046232555,1.3947620388622952
realization,0.2708333333333333,0.19540229885057472,0.2980769230769231,0.07543103448275859,0.10267462422634835,-0.027243589743589758,1.3611721611721614
remorse,0.6722689075630253,0.6213592233009708,0.6833333333333333,0.050909684262054444,0.06197411003236253,-0.011064425770308084,1.2173344017094005
sadness,0.6319702602230484,0.5754385964912281,0.6206896551724138,0.05653166373182028,0.04525105868118573,0.011280605050634551,0.8004551023980393
surprise,0.5714285714285714,0.5528455284552846,0.5813953488372093,0.018583042973286834,0.028549820381924773,-0.009966777408637939,1.5363372093023302
